No.,Time,Source,Destination,Protocol,Length,Info,,Time 1,Time 2,Delay,,Delay 1,Delay 2,Jitter
86,9.372783,103.111.138.76,192.168.1.40,UDP,1292,443  >  60695 Len=1250,,9.372783,9.377181,0.004398,,0.003347,0.001051,-0.002296
87,9.377181,192.168.1.40,103.111.138.76,UDP,75,60695  >  443 Len=33,,9.377181,9.378232,0.001051,,0.001051,0,-0.001051
88,9.378232,103.111.138.76,192.168.1.40,UDP,1292,443  >  60695 Len=1250,,9.378232,9.378232,0,,0,0,0
89,9.378232,103.111.138.76,192.168.1.40,UDP,1292,443  >  60695 Len=1250,,9.378232,9.378232,0,,0,0,0
90,9.378232,103.111.138.76,192.168.1.40,UDP,1292,443  >  60695 Len=1250,,9.378232,9.378232,0,,-0.004115,0.004115,0.00823
91,9.378232,103.111.138.76,192.168.1.40,UDP,1292,443  >  60695 Len=1250,,9.378232,9.382347,0.004115,,0.004115,0,-0.004115
92,9.382347,103.111.138.76,192.168.1.40,UDP,1292,443  >  60695 Len=1250,,9.382347,9.382347,0,,0,0,0
93,9.382347,103.111.138.76,192.168.1.40,UDP,1292,443  >  60695 Len=1250,,9.382347,9.382347,0,,0,0,0
94,9.382347,103.111.138.76,192.168.1.40,UDP,1292,443  >  60695 Len=1250,,9.382347,9.382347,0,,-0.000166,0.000166,0.000332
95,9.382347,103.111.138.76,192.168.1.40,UDP,1292,443  >  60695 Len=1250,,9.382347,9.382513,0.000166,,-0.003751,0.003917,0.007668
96,9.382513,192.168.1.40,103.111.138.76,UDP,75,60695  >  443 Len=33,,9.382513,9.38643,0.003917,,0.003917,0,-0.003917
97,9.38643,103.111.138.76,192.168.1.40,UDP,1292,443  >  60695 Len=1250,,9.38643,9.38643,0,,0,0,0
98,9.38643,103.111.138.76,192.168.1.40,UDP,1292,443  >  60695 Len=1250,,9.38643,9.38643,0,,0,0,0
99,9.38643,103.111.138.76,192.168.1.40,UDP,1292,443  >  60695 Len=1250,,9.38643,9.38643,0,,-0.000165,0.000165,0.00033
100,9.38643,103.111.138.76,192.168.1.40,UDP,1292,443  >  60695 Len=1250,,9.38643,9.386595,0.000165,,-0.000869,0.001034,0.001903
101,9.386595,192.168.1.40,103.111.138.76,UDP,75,60695  >  443 Len=33,,9.386595,9.387629,0.001034,,0.001034,0,-0.001034
102,9.387629,103.111.138.76,192.168.1.40,UDP,1292,443  >  60695 Len=1250,,9.387629,9.387629,0,,0,0,0
103,9.387629,103.111.138.76,192.168.1.40,UDP,1292,443  >  60695 Len=1250,,9.387629,9.387629,0,,0,0,0
104,9.387629,103.111.138.76,192.168.1.40,UDP,1292,443  >  60695 Len=1250,,9.387629,9.387629,0,,-0.002662,0.002662,0.005324
105,9.387629,103.111.138.76,192.168.1.40,UDP,1292,443  >  60695 Len=1250,,9.387629,9.390291,0.002662,,0.002662,0,-0.002662
106,9.390291,103.111.138.76,192.168.1.40,UDP,1292,443  >  60695 Len=1250,,9.390291,9.390291,0,,0,0,0
107,9.390291,103.111.138.76,192.168.1.40,UDP,1292,443  >  60695 Len=1250,,9.390291,9.390291,0,,0,0,0
108,9.390291,103.111.138.76,192.168.1.40,UDP,1292,443  >  60695 Len=1250,,9.390291,9.390291,0,,-0.000143,0.000143,0.000286
109,9.390291,103.111.138.76,192.168.1.40,UDP,1292,443  >  60695 Len=1250,,9.390291,9.390434,0.000143,,-0.002621,0.002764,0.005385
110,9.390434,192.168.1.40,103.111.138.76,UDP,75,60695  >  443 Len=33,,9.390434,9.393198,0.002764,,0.002764,0,-0.002764
111,9.393198,103.111.138.76,192.168.1.40,UDP,1292,443  >  60695 Len=1250,,9.393198,9.393198,0,,0,0,0
112,9.393198,103.111.138.76,192.168.1.40,UDP,1292,443  >  60695 Len=1250,,9.393198,9.393198,0,,0,0,0
113,9.393198,103.111.138.76,192.168.1.40,UDP,1292,443  >  60695 Len=1250,,9.393198,9.393198,0,,-0.000136,0.000136,0.000272
114,9.393198,103.111.138.76,192.168.1.40,UDP,1292,443  >  60695 Len=1250,,9.393198,9.393334,0.000136,,-0.00134,0.001476,0.002816
115,9.393334,192.168.1.40,103.111.138.76,UDP,75,60695  >  443 Len=33,,9.393334,9.39481,0.001476,,0.001476,0,-0.001476
116,9.39481,103.111.138.76,192.168.1.40,UDP,1292,443  >  60695 Len=1250,,9.39481,9.39481,0,,0,0,0
117,9.39481,103.111.138.76,192.168.1.40,UDP,1292,443  >  60695 Len=1250,,9.39481,9.39481,0,,0,0,0
118,9.39481,103.111.138.76,192.168.1.40,UDP,1292,443  >  60695 Len=1250,,9.39481,9.39481,0,,-0.002297,0.002297,0.004594
119,9.39481,103.111.138.76,192.168.1.40,UDP,1292,443  >  60695 Len=1250,,9.39481,9.397107,0.002297,,0.001516,0.000781,-0.000735
120,9.397107,192.168.1.40,103.111.138.76,UDP,76,60695  >  443 Len=34,,9.397107,9.397888,0.000781,,0.000781,0,-0.000781
121,9.397888,103.111.138.76,192.168.1.40,UDP,1292,443  >  60695 Len=1250,,9.397888,9.397888,0,,0,0,0
122,9.397888,103.111.138.76,192.168.1.40,UDP,1292,443  >  60695 Len=1250,,9.397888,9.397888,0,,0,0,0
123,9.397888,103.111.138.76,192.168.1.40,UDP,1292,443  >  60695 Len=1250,,9.397888,9.397888,0,,-0.002696,0.002696,0.005392
124,9.397888,103.111.138.76,192.168.1.40,UDP,1292,443  >  60695 Len=1250,,9.397888,9.400584,0.002696,,0.002696,0,-0.002696
125,9.400584,103.111.138.76,192.168.1.40,UDP,1292,443  >  60695 Len=1250,,9.400584,9.400584,0,,0,0,0
126,9.400584,103.111.138.76,192.168.1.40,UDP,1292,443  >  60695 Len=1250,,9.400584,9.400584,0,,0,0,0
127,9.400584,103.111.138.76,192.168.1.40,UDP,1292,443  >  60695 Len=1250,,9.400584,9.400584,0,,-0.000146,0.000146,0.000292
128,9.400584,103.111.138.76,192.168.1.40,UDP,1292,443  >  60695 Len=1250,,9.400584,9.40073,0.000146,,-0.001168,0.001314,0.002482
129,9.40073,192.168.1.40,103.111.138.76,UDP,75,60695  >  443 Len=33,,9.40073,9.402044,0.001314,,0.001314,0,-0.001314
